packetGen Network.nodeTx.gen (#0 - General-0-20250513-01:00:42-14093),,bufferSize Network.nodeTx.traTx (#0 - General-0-20250513-01:00:42-14093),,bufferSize Network.queue (#0 - General-0-20250513-01:00:42-14093),,bufferSize Network.nodeRx.traRx (#0 - General-0-20250513-01:00:42-14093),,Delay Network.nodeRx.sink (#0 - General-0-20250513-01:00:42-14093),,packetUsed Network.nodeRx.sink (#0 - General-0-20250513-01:00:42-14093),,bufferSize Network.appQueue (#0 - General-0-20250513-01:00:42-14093),
0.079587450457,1,0.079587450457,1,0.179687450457,1,0.379687450457,1,0.579687450457,0.500099999999999987,0.579687450457,1,0.579687450457,1
0.169443489305,1,0.169443489305,1,0.279687450457,1,0.579687450457,1,0.779687450457,0.610243961151999856,0.779687450457,1,0.779687450457,1
0.29503656511,1,0.29503656511,1,0.39513656511,1,0.779687450457,1,0.979687450457,0.684650885346999912,0.979687450457,1,0.979687450457,1
0.480996986317,1,0.480996986317,1,0.581096986317,1,0.979687450457,1,1.179687450457,0.698690464140000019,1.179687450457,1,1.179687450457,1
0.573319299464,1,0.573319299464,1,0.681096986317,2,1.179687450457,1,1.379687450457,0.806368150992999851,1.379687450457,1,1.379687450457,1
0.768473833052,1,0.768473833052,1,0.868573833052,2,1.379687450457,1,1.579687450457,0.811213617404999973,1.579687450457,1,1.579687450457,1
0.84719394705,1,0.84719394705,1,0.973573833052,3,1.579687450457,1,1.779687450457,0.932493503406999875,1.779687450457,1,1.779687450457,1
1.03509035247,1,1.03509035247,1,1.13519035247,3,1.779687450457,1,1.979687450457,0.944597097986999973,1.979687450457,1,1.979687450457,1
1.090195201137,1,1.090195201137,1,1.24019035247,3,1.979687450457,1,2.179687450457,1.089492249320000103,2.179687450457,1,2.179687450457,1
1.187895843776,1,1.187895843776,1,1.34519035247,4,2.179687450457,1,2.379687450457,1.191791606680999922,2.379687450457,1,2.379687450457,1
1.291711773842,1,1.291711773842,1,1.45019035247,4,2.379687450457,1,2.579687450457,1.287975676614999893,2.579687450457,1,2.579687450457,1
1.340224590214,1,1.340224590214,2,1.55519035247,5,2.579687450457,1,2.779687450457,1.439462860242999737,2.779687450457,1,2.779687450457,1
1.397776509902,1,1.397776509902,2,1.66019035247,5,2.779687450457,1,2.979687450457,1.581910940554999803,2.979687450457,1,2.979687450457,1
1.433092423816,1,1.433092423816,3,1.76519035247,6,2.979687450457,1,3.179687450457,1.74659502664099974,3.179687450457,1,3.179687450457,1
