packetGen Network.nodeTx.gen (#0 - General-0-20250512-20:45:22-3596),,bufferSize Network.nodeTx.queue (#0 - General-0-20250512-20:45:22-3596),,bufferSize Network.queue (#0 - General-0-20250512-20:45:22-3596),,bufferSize Network.nodeRx.queue (#0 - General-0-20250512-20:45:22-3596),,Delay Network.nodeRx.sink (#0 - General-0-20250512-20:45:22-3596),,packetUsed Network.nodeRx.sink (#0 - General-0-20250512-20:45:22-3596),,packetDrop Network.queue (#0 - General-0-20250512-20:45:22-3596),
0.079587450457,1,0.079587450457,1,0.179687450457,1,0.379687450457,1,0.579687450457,0.500099999999999987,0.579687450457,1,43.081753423165,1
0.169443489305,1,0.169443489305,1,0.279687450457,1,0.579687450457,1,0.779687450457,0.610243961151999856,0.779687450457,1,43.281753423165,1
0.29503656511,1,0.29503656511,1,0.39513656511,1,0.779687450457,1,0.979687450457,0.684650885346999912,0.979687450457,1,43.481753423165,1
0.480996986317,1,0.480996986317,1,0.581096986317,1,0.979687450457,1,1.179687450457,0.698690464140000019,1.179687450457,1,43.681753423165,1
0.573319299464,1,0.573319299464,1,0.681096986317,2,1.179687450457,1,1.379687450457,0.806368150992999851,1.379687450457,1,43.881753423165,1
0.768473833052,1,0.768473833052,1,0.868573833052,2,1.379687450457,1,1.579687450457,0.811213617404999973,1.579687450457,1,44.081753423165,1
0.84719394705,1,0.84719394705,1,0.968573833052,3,1.579687450457,1,1.779687450457,0.932493503406999875,1.779687450457,1,44.281753423165,1
1.03509035247,1,1.03509035247,1,1.13519035247,3,1.779687450457,1,1.979687450457,0.944597097986999973,1.979687450457,1,44.481753423165,1
1.090195201137,1,1.090195201137,1,1.23519035247,3,1.979687450457,1,2.179687450457,1.089492249320000103,2.179687450457,1,44.681753423165,1
1.187895843776,1,1.187895843776,1,1.33519035247,4,2.179687450457,1,2.379687450457,1.191791606680999922,2.379687450457,1,44.881753423165,1
1.291711773842,1,1.291711773842,1,1.43519035247,4,2.379687450457,1,2.579687450457,1.287975676614999893,2.579687450457,1,45.081753423165,1
1.340224590214,1,1.340224590214,1,1.53519035247,5,2.579687450457,1,2.779687450457,1.439462860242999737,2.779687450457,1,45.281753423165,1
1.397776509902,1,1.397776509902,2,1.63519035247,5,2.779687450457,1,2.979687450457,1.581910940554999803,2.979687450457,1,45.481753423165,1
1.433092423816,1,1.433092423816,3,1.73519035247,6,2.979687450457,1,3.179687450457,1.74659502664099974,3.179687450457,1,45.681753423165,1
1.65544486602,1,1.65544486602,1,1.83519035247,6,3.179687450457,1,3.379687450457,1.724242584436999951,3.379687450457,1,45.881753423165,1
1.661283332929,1,1.661283332929,2,1.93519035247,7,3.379687450457,1,3.579687450457,1.918404117527999988,3.579687450457,1,46.081753423165,1
1.992774560922,1,1.992774560922,1,2.092874560922,7,3.579687450457,1,3.779687450457,1.786912889534999931,3.779687450457,1,46.281753423165,1
2.024610175006,1,2.024610175006,1,2.192874560922,7,3.779687450457,1,3.979687450457,1.955077275450999956,3.979687450457,1,46.481753423165,1
2.072970385501,1,2.072970385501,2,2.292874560922,8,3.979687450457,1,4.179687450457,2.106717064955999408,4.179687450457,1,46.681753423165,1
2.137915020326,1,2.137915020326,2,2.392874560922,8,4.179687450457,1,4.379687450457,2.241772430130999347,4.379687450457,1,46.881753423165,1
2.294804632088,1,2.294804632088,1,2.492874560922,9,4.379687450457,1,4.579687450457,2.284882818368999746,4.579687450457,1,47.124122061063,1
2.46202575212,1,2.46202575212,1,2.592874560922,9,4.579687450457,1,4.779687450457,2.317661698336999965,4.779687450457,1,47.324122061063,1
2.537293163451,1,2.537293163451,1,2.692874560922,10,4.779687450457,1,4.979687450457,2.442394287005999577,4.979687450457,1,47.693711538692,1
2.602681420173,1,2.602681420173,1,2.792874560922,10,4.979687450457,1,5.179687450457,2.577006030284000092,5.179687450457,1,47.900351525779,1
2.686624705463,1,2.686624705463,2,2.892874560922,11,5.179687450457,1,5.379687450457,2.6930627449940001,5.379687450457,1,48.100351525779,1
2.736511906365,1,2.736511906365,2,2.992874560922,11,5.379687450457,1,5.579687450457,2.843175544091999452,5.579687450457,1,48.300351525779,1
2.99633731495,1,2.99633731495,1,3.09643731495,12,5.579687450457,1,5.779687450457,2.783350135506999825,5.779687450457,1,48.500351525779,1
3.177174241377,1,3.177174241377,1,3.277274241377,12,5.779687450457,1,5.979687450457,2.802513209079999777,5.979687450457,1,48.700351525779,1
3.184542776924,1,3.184542776924,1,3.377274241377,13,5.979687450457,1,6.179687450457,2.995144673532999832,6.179687450457,1,48.900351525779,1
3.225700576548,1,3.225700576548,2,3.477274241377,13,6.179687450457,1,6.379687450457,3.153986873909,6.379687450457,1,49.100351525779,1
3.23481667916,1,3.23481667916,3,3.577274241377,14,6.379687450457,1,6.579687450457,3.34487077129699982,6.579687450457,1,49.300351525779,1
3.339277929991,1,3.339277929991,3,3.677274241377,14,6.579687450457,1,6.779687450457,3.440409520465999892,6.779687450457,1,49.500351525779,1
3.341320488831,1,3.341320488831,4,3.777274241377,15,6.779687450457,1,6.979687450457,3.63836696162599969,6.979687450457,1,49.700351525779,1
3.387245302557,1,3.387245302557,4,3.877274241377,15,6.979687450457,1,7.179687450457,3.7924421479000001,7.179687450457,1,49.900351525779,1
3.565994068901,1,3.565994068901,4,3.977274241377,16,7.179687450457,1,7.379687450457,3.813693381555999892,7.379687450457,1,50.100351525779,1
3.881011061769,1,3.881011061769,1,4.077274241377,16,7.379687450457,1,7.579687450457,3.698676388687999852,7.579687450457,1,50.300351525779,1
4.031589487633,1,4.031589487633,1,4.177274241377,17,7.579687450457,1,7.779687450457,3.748097962823999632,7.779687450457,1,50.500351525779,1
4.046712572999,1,4.046712572999,2,4.277274241377,17,7.779687450457,1,7.979687450457,3.932974877457999327,7.979687450457,1,50.700351525779,1
4.250743998793,1,4.250743998793,1,4.377274241377,18,7.979687450457,1,8.179687450457,3.928943451663999815,8.179687450457,1,50.900351525779,1
4.454833220384,1,4.454833220384,1,4.554933220384,18,8.179687450457,1,8.379687450457,3.924854230072999587,8.379687450457,1,51.100351525779,1
4.839355407298,1,4.839355407298,1,4.939455407298,17,8.379687450457,1,8.579687450457,3.740332043158999462,8.579687450457,1,51.300351525779,1
4.903526324566,1,4.903526324566,1,5.039455407298,17,8.579687450457,1,8.779687450457,3.876161125890999577,8.779687450457,1,51.500351525779,1
5.064050280272,1,5.064050280272,1,5.164150280272,18,8.779687450457,1,8.979687450457,3.915637170184999665,8.979687450457,1,51.700351525779,1
5.225450487761,1,5.225450487761,1,5.325550487761,18,8.979687450457,1,9.179687450457,3.954236962696000095,9.179687450457,1,51.900351525779,1
5.287343433724,1,5.287343433724,1,5.425550487761,18,9.179687450457,1,9.379687450457,4.092344016732999617,9.379687450457,1,52.100351525779,1
5.360839875843,1,5.360839875843,1,5.525550487761,19,9.379687450457,1,9.579687450457,4.218847574613999267,9.579687450457,1,52.300351525779,1
5.512493473242,1,5.512493473242,1,5.625550487761,19,9.579687450457,1,9.779687450457,4.267193977214999362,9.779687450457,1,52.500351525779,1
5.626087367413,1,5.626087367413,1,5.726187367413,20,9.779687450457,1,9.979687450457,4.353600083044000242,9.979687450457,1,52.700351525779,1
5.638674808357,1,5.638674808357,1,5.826187367413,20,9.979687450457,1,10.179687450457,4.541012642100000095,10.179687450457,1,52.900351525779,1
5.766197578579,1,5.766197578579,1,5.926187367413,21,10.179687450457,1,10.379687450457,4.613489871878000395,10.379687450457,1,53.100351525779,1
5.868340766014,1,5.868340766014,1,6.026187367413,21,10.379687450457,1,10.579687450457,4.71134668444299896,10.579687450457,1,53.300351525779,1
