packetGen Network.nodeTx.gen (#0 - General-0-20250513-01:06:12-14682),,bufferSize Network.nodeTx.traTx (#0 - General-0-20250513-01:06:12-14682),,bufferSize Network.queue (#0 - General-0-20250513-01:06:12-14682),,bufferSize Network.nodeRx.traRx (#0 - General-0-20250513-01:06:12-14682),,Delay Network.nodeRx.sink (#0 - General-0-20250513-01:06:12-14682),,packetUsed Network.nodeRx.sink (#0 - General-0-20250513-01:06:12-14682),,bufferSize Network.appQueue (#0 - General-0-20250513-01:06:12-14682),
0.795874504566,1,0.795874504566,1,0.895974504566,1,1.096074504566,1,1.196074504566,0.4002,1.196074504566,1,1.99463489305,1
1.69443489305,1,1.69443489305,1,1.79453489305,1,1.99463489305,1,2.09463489305,0.4002,2.09463489305,1,3.250565651097,1
2.950365651097,1,2.950365651097,1,3.050465651097,1,3.250565651097,1,3.350565651097,0.4002,3.350565651097,1,5.110169863172,1
4.809969863172,1,4.809969863172,1,4.910069863172,1,5.110169863172,1,5.210169863172,0.4002,5.210169863172,1,6.033392994643,1
5.733192994643,1,5.733192994643,1,5.833292994643,1,6.033392994643,1,6.133392994643,0.4002,6.133392994643,1,7.984938330527,1
7.684738330527,1,7.684738330527,1,7.784838330527,1,7.984938330527,1,8.084938330527,0.4002,8.084938330527,1,8.772139470509,1
8.471939470509,1,8.471939470509,1,8.572039470509,1,8.772139470509,1,8.872139470509,0.4002,8.872139470509,1,10.651103524712,1
10.350903524712,1,10.350903524712,1,10.451003524712,1,10.651103524712,1,10.751103524712,0.4002,10.751103524712,1,11.202152011382,1
10.901952011382,1,10.901952011382,1,11.002052011382,1,11.202152011382,1,11.302152011382,0.4002,11.302152011382,1,12.179158437775,1
11.878958437775,1,11.878958437775,1,11.979058437775,1,12.179158437775,1,12.279158437775,0.4002,12.279158437775,1,13.217317738439,1
12.917117738439,1,12.917117738439,1,13.017217738439,1,13.217317738439,1,13.317317738439,0.4002,13.317317738439,1,13.702445902161,1
13.402245902161,1,13.402245902161,1,13.502345902161,1,13.702445902161,1,13.802445902161,0.4002,13.802445902161,1,14.277965099044,1
13.977765099044,1,13.977765099044,1,14.077865099044,1,14.277965099044,1,14.377965099044,0.4002,14.377965099044,1,14.631124238182,1
14.330924238182,1,14.330924238182,1,14.431024238182,1,14.631124238182,1,14.731124238182,0.4002,14.731124238182,1,16.854648660218,1
16.554448660218,1,16.554448660218,1,16.654548660218,1,16.854648660218,1,16.954648660218,0.4002,16.954648660218,1,17.054648660218,1
16.612833329311,1,16.612833329311,1,16.754548660218,1,17.054648660218,1,17.154648660218,0.541815330906999956,17.154648660218,1,20.227945609239,1
19.927745609239,1,19.927745609239,1,20.027845609239,1,20.227945609239,1,20.327945609239,0.4002,20.327945609239,1,20.546301750081,1
20.246101750081,1,20.246101750081,1,20.346201750081,1,20.546301750081,1,20.646301750081,0.4002,20.646301750081,1,21.029903855029,1
20.729703855029,1,20.729703855029,1,20.829803855029,1,21.029903855029,1,21.129903855029,0.4002,21.129903855029,1,21.67935020328,1
21.37915020328,1,21.37915020328,1,21.47925020328,1,21.67935020328,1,21.77935020328,0.4002,21.77935020328,1,23.248246320903,1
22.948046320903,1,22.948046320903,1,23.048146320903,1,23.248246320903,1,23.348246320903,0.4002,23.348246320903,1,24.920457521228,1
24.620257521228,1,24.620257521228,1,24.720357521228,1,24.920457521228,1,25.020457521228,0.4002,25.020457521228,1,25.673131634541,1
25.372931634541,1,25.372931634541,1,25.473031634541,1,25.673131634541,1,25.773131634541,0.4002,25.773131634541,1,26.327014201762,1
