packetGen Network.nodeTx.gen (#0 - General-0-20250513-00:54:57-13503),,bufferSize Network.nodeTx.traTx (#0 - General-0-20250513-00:54:57-13503),,bufferSize Network.queue (#0 - General-0-20250513-00:54:57-13503),,bufferSize Network.nodeRx.traRx (#0 - General-0-20250513-00:54:57-13503),,Delay Network.nodeRx.sink (#0 - General-0-20250513-00:54:57-13503),,packetUsed Network.nodeRx.sink (#0 - General-0-20250513-00:54:57-13503),,bufferSize Network.appQueue (#0 - General-0-20250513-00:54:57-13503),
0.198968626141,1,0.198968626141,1,0.299068626141,1,0.499068626141,1,0.699068626141,0.500099999999999987,0.699068626141,1,1.502592465793,1
0.423608723262,1,0.423608723262,1,0.523708723262,1,0.723708723262,1,0.923708723262,0.500099999999999987,0.923708723262,1,2.221284582632,1
0.737591412774,1,0.737591412774,1,0.837691412774,1,1.037691412774,1,1.237691412774,0.500099999999999987,1.237691412774,1,2.887825881178,1
1.202492465793,1,1.202492465793,1,1.302592465793,1,1.502592465793,1,1.702592465793,0.500099999999999987,1.702592465793,1,3.087825881178,1
1.433298248661,1,1.433298248661,1,1.533398248661,1,1.733398248661,1,1.933398248661,0.500099999999999987,1.933398248661,1,3.52937943461,1
1.921184582632,1,1.921184582632,1,2.021284582632,1,2.221284582632,1,2.421284582632,0.500099999999999987,2.421284582632,1,3.72937943461,1
2.117984867627,1,2.117984867627,1,2.218084867627,1,2.421284582632,1,2.621284582632,0.503299715005000035,2.621284582632,1,3.92937943461,1
2.587725881178,1,2.587725881178,1,2.687825881178,1,2.887825881178,1,3.087825881178,0.500099999999999987,3.087825881178,1,4.12937943461,1
2.725488002846,1,2.725488002846,1,2.825588002846,1,3.087825881178,1,3.287825881178,0.562337878331999883,3.287825881178,1,4.438712165054,1
2.969739609444,1,2.969739609444,1,3.069839609444,1,3.287825881178,1,3.487825881178,0.518086271734000013,3.487825881178,1,5.282036402309,1
3.22927943461,1,3.22927943461,1,3.32937943461,1,3.52937943461,1,3.72937943461,0.500099999999999987,3.72937943461,1,5.682036402309,1
3.35056147554,1,3.35056147554,1,3.45066147554,1,3.72937943461,1,3.92937943461,0.578817959069999995,3.92937943461,1,5.882036402309,1
3.494441274761,1,3.494441274761,1,3.594541274761,1,3.92937943461,1,4.12937943461,0.634938159849000036,4.12937943461,1,6.082036402309,1
3.582731059545,1,3.582731059545,1,3.694541274761,2,4.12937943461,1,4.32937943461,0.746648375064999922,4.32937943461,1,6.455164380306,1
4.138612165054,1,4.138612165054,1,4.238712165054,1,4.438712165054,1,4.638712165054,0.500099999999999987,4.638712165054,1,6.655164380306,1
4.153208332327,1,4.153208332327,1,4.338712165054,1,4.638712165054,1,4.838712165054,0.685503832726999992,4.838712165054,1,6.855164380306,1
4.981936402309,1,4.981936402309,1,5.082036402309,1,5.282036402309,1,5.482036402309,0.500099999999999987,5.482036402309,1,7.055164380306,1
5.061525437519,1,5.061525437519,1,5.182036402309,1,5.482036402309,1,5.682036402309,0.620510964790000006,5.682036402309,1,7.255164380306,1
5.182425963756,1,5.182425963756,1,5.282525963756,1,5.682036402309,1,5.882036402309,0.699610438552999978,5.882036402309,1,7.79094328738,1
5.344787550819,1,5.344787550819,1,5.444887550819,2,5.882036402309,1,6.082036402309,0.737248851489999965,6.082036402309,1,8.243035603449,1
5.737011580225,1,5.737011580225,1,5.837111580225,1,6.082036402309,1,6.282036402309,0.545024822083999935,6.282036402309,1,8.443035603449,1
6.155064380306,1,6.155064380306,1,6.255164380306,1,6.455164380306,1,6.655164380306,0.500099999999999987,6.655164380306,1,8.643035603449,1
6.343232908634,1,6.343232908634,1,6.443332908634,1,6.655164380306,1,6.855164380306,0.511931471672000036,6.855164380306,1,8.843035603449,1
6.506703550439,1,6.506703550439,1,6.606803550439,1,6.855164380306,1,7.055164380306,0.548460829866999953,7.055164380306,1,9.043035603449,1
6.716561763664,1,6.716561763664,1,6.816661763664,1,7.055164380306,1,7.255164380306,0.538602616641999929,7.255164380306,1,9.243035603449,1
6.841279765918,1,6.841279765918,1,6.941379765918,1,7.255164380306,1,7.455164380306,0.613884614387999903,7.455164380306,1,9.443035603449,1
7.49084328738,1,7.49084328738,1,7.59094328738,1,7.79094328738,1,7.99094328738,0.500099999999999987,7.99094328738,1,10.002627654427,1
7.942935603449,1,7.942935603449,1,8.043035603449,1,8.243035603449,1,8.443035603449,0.500099999999999987,8.443035603449,1,10.379073719086,1
7.961356942315,1,7.961356942315,1,8.143035603449,1,8.443035603449,1,8.643035603449,0.681678661133999993,8.643035603449,1,10.579073719086,1
8.064251441376,1,8.064251441376,1,8.243035603449,1,8.643035603449,1,8.843035603449,0.778784162073000048,8.843035603449,1,10.926959996987,1
8.087041697907,1,8.087041697907,2,8.343035603449,2,8.843035603449,1,9.043035603449,0.955993905541999917,9.043035603449,1,11.437183050965,1
8.348194824984,1,8.348194824984,1,8.448294824984,2,9.043035603449,1,9.243035603449,0.894840778464999871,9.243035603449,1,12.39848851825,1
8.353301222084,1,8.353301222084,1,8.548294824984,3,9.243035603449,1,9.443035603449,1.089734381365,9.443035603449,1,12.59848851825,1
8.468113256398,1,8.468113256398,1,8.648294824984,3,9.443035603449,1,9.643035603449,1.174922347050999955,9.643035603449,1,12.960225700685,1
8.914985172258,1,8.914985172258,1,9.015085172258,3,9.643035603449,1,9.843035603449,0.928050431190999831,9.843035603449,1,13.363726219408,1
9.702527654427,1,9.702527654427,1,9.802627654427,1,10.002627654427,1,10.202627654427,0.500099999999999987,10.202627654427,1,13.563726219408,1
