packetGen Network.nodeTx.gen (#0 - General-0-20250512-20:49:36-4270),,bufferSize Network.nodeTx.queue (#0 - General-0-20250512-20:49:36-4270),,bufferSize Network.queue (#0 - General-0-20250512-20:49:36-4270),,bufferSize Network.nodeRx.queue (#0 - General-0-20250512-20:49:36-4270),,Delay Network.nodeRx.sink (#0 - General-0-20250512-20:49:36-4270),,packetUsed Network.nodeRx.sink (#0 - General-0-20250512-20:49:36-4270),,packetDrop Network.queue (#0 - General-0-20250512-20:49:36-4270),
0.119381175685,1,0.119381175685,1,0.219481175685,1,0.419481175685,1,0.619481175685,0.500099999999999987,0.619481175685,1,122.405309158083,1
0.254165233958,1,0.254165233958,1,0.354265233958,1,0.619481175685,1,0.819481175685,0.565315941726999945,0.819481175685,1,122.605309158083,1
0.442554847665,1,0.442554847665,1,0.542654847665,1,0.819481175685,1,1.019481175685,0.576926328019999875,1.019481175685,1,122.805309158083,1
0.721495479476,1,0.721495479476,1,0.821595479476,1,1.021595479476,1,1.221595479476,0.500099999999999987,1.221595479476,1,123.005309158083,1
0.859978949197,1,0.859978949197,1,0.960078949197,1,1.221595479476,1,1.421595479476,0.561616530278999934,1.421595479476,1,123.205309158083,1
1.15271074958,1,1.15271074958,1,1.25281074958,1,1.45281074958,1,1.65281074958,0.500099999999999987,1.65281074958,1,123.405309158083,1
1.270790920577,1,1.270790920577,1,1.370890920577,1,1.65281074958,1,1.85281074958,0.582019829002999863,1.85281074958,1,123.605309158083,1
1.552635528707,1,1.552635528707,1,1.652735528707,1,1.85281074958,1,2.05281074958,0.500175220872999924,2.05281074958,1,123.805309158083,1
1.635292801708,1,1.635292801708,1,1.752735528707,1,2.05281074958,1,2.25281074958,0.61751794787199987,2.25281074958,1,124.005309158083,1
1.781843765667,1,1.781843765667,1,1.881943765667,1,2.25281074958,1,2.45281074958,0.670966983912999911,2.45281074958,1,124.205309158083,1
1.937567660767,1,1.937567660767,1,2.037667660767,2,2.45281074958,1,2.65281074958,0.715243088812999912,2.65281074958,1,124.405309158083,1
2.010336885325,1,2.010336885325,1,2.137667660767,2,2.65281074958,1,2.85281074958,0.842473864255000035,2.85281074958,1,124.605309158083,1
